Multiplayer Online Versus
Multiplayer Online Co-op
Multiplayer Local Versus
Multiplayer Local Co-op
PC
Video Game Console
Adventure
Strategy
Casual
3D
2D
Shooter
Fighting Game
Racing/driving
Action
Retro
Platformer
Story-Driven
Funny/Comedy
Sci-fi
Fantasy
